Story Title,Estimate,Vote Started,Voting Duration,Avg Voting Time,Fastest,Slowest
"As a developer, I want to refine filtering, pagination, and sorting to decrease response time so that end-users can have a more rewarding experience.",2,17/11/2017 18:47:03,0:00:11,0:00:06,rjmathis,rj mathis
"As a developer, I want to refine our technical documentation so that anyone interested in learning about the way our site was developed can easily understand the tools and procceses used.",1,17/11/2017 18:46:24,0:00:16,0:00:08,rjmathis,rj mathis
"As a developer, I want to add more comments to our codebase, so that when I revisit it in a couple weeks I don't hate myself becuase I can't understand what's happening.",1,17/11/2017 18:46:05,0:00:16,0:00:07,rjmathis,rj mathis
"As a developer, I want to refactor the front-end code to remove duplicate into reusable functionality to reduce the size of the JS being deployed and increase the sites speed.",3,17/11/2017 18:44:40,0:01:17,0:00:52,rjmathis,rj mathis
"As a front-end developer, I want to use Selenium to create unit tests so that I can ensure the site displays to the user as anticipated.",3,17/11/2017 18:44:03,0:00:18,0:00:09,rjmathis,rj mathis
"As a developer, I want to store media within our backend so that we can speed up response time by eliminating unnecessary external queries.",5,17/11/2017 18:43:35,0:00:22,0:00:11,rjmathis,rj mathis
"As a developer, I want to refactor the API routes to allow for more robust filtering so that the front-end can implement more efficient filtering.",3,17/11/2017 18:43:17,0:00:14,0:00:08,rjmathis,rj mathis
"As a developer, I want to implement caching in the back-end so that we can provide a richer user experience.",Coffee,17/11/2017 18:42:42,0:00:33,0:00:14,rjmathis,rj mathis
"As a developer, I want to create a visualization by using another teams API so that we can meet the requirements for this project.",2,17/11/2017 18:42:14,0:00:22,0:00:12,rjmathis,rj mathis
"As a developer, I want to refine the documentation for the API so that other developers can easily consume our API to make interesting vizualizations.",3,17/11/2017 18:41:39,0:00:34,0:00:15,rjmathis,rj mathis
"As a developer, I want to be able to see solid documentation for the API, so that I can use your API without struggling to understand it.",3,17/11/2017 18:41:09,0:00:19,23:59:59,rjmathis,rj mathis
"As a user, I want to be able to search your website for something specific,  so that I can easily find what I'm looking for.",5,3/11/17 18:14,0:00:21,0:00:12,rjmathis,rj mathis
"As a developer, I want to be able to collect information from your API, so that I can build my own awesome website.",2,3/11/17 18:13,0:00:43,0:00:19,rjmathis,rj mathis
"As a socialite, I want to be able to easily find the social media links for breweries I am interested in so that I can stay up to date.",1,3/11/17 18:13,0:00:23,0:00:11,rjmathis,rj mathis
"As a beer enthusiast, I want to be able to view limited beers per page, so that I am not overwhelmed by the number of beers on a single page.",1,3/11/17 18:12,0:00:38,0:00:32,rjmathis,rj mathis
"As a user, I want to be able to filter beers by specific attributes, so that I can find only the beers that interest me.",3,3/11/17 18:12,0:00:27,0:00:13,rjmathis,rj mathis
"As a user, I want to be able to view your website from multiple devices, so that I can get my beer info on the fly.",3,3/11/17 18:11,0:00:19,0:00:09,rjmathis,rj mathis
"As a user, I want to be able to visit your site from the browser of my choice, so that I don't have to get a new browser.",3,3/11/17 18:10,0:00:48,0:00:23,rjmathis,rj mathis
"As a user, I want to view well-formatted review comments, so that I can easily read them.",5,3/11/17 18:10,0:00:22,0:00:15,rjmathis,rj mathis
"As a developer, I want solid documentation about your API so that I can easily understand how to consume your RESTful API",1,3/11/17 18:08,0:00:50,0:11:33,rjmathis,rj mathis
"As a frugal person, I want to be able to easily browse beers by ABV, so that I can get the best bang for my buck.",3,13/10/2017 21:44:19,0:02:11,0:01:33,rjmathis,rj mathis
"As a developer, I want to be able to query API endpoints to collect beer data from the brewtiful.world API",3,13/10/2017 21:43:00,0:01:01,0:00:22,rjmathis,rj mathis
"As a dark beer lover, I want to be able to find new stouts and porters, so that I can expand my beer horizons.",3,13/10/2017 21:42:27,0:00:27,0:00:13,rjmathis,rj mathis
"As a sports fan, I want to easily find reviews on local breweries and beers, so that I can stock my fridge with the best stuff for game day.",3,13/10/2017 21:41:58,0:00:23,0:00:15,rjmathis,rj mathis
"As a beer enthusiast, I want to find top-rated breweries, so that I can go try new beers from good breweries.",3,13/10/2017 21:40:57,0:00:32,0:00:19,rjmathis,rj mathis
"As a traveler, I want to be able to find the best beers in places I travel to, so that I can experience local brews.",3,13/10/2017 21:40:34,0:00:18,0:00:10,rjmathis,rj mathis
"As a curious person, I want an easy way to learn about different styles of beer, so that I can better understand the profile of new beers I try.",2,13/10/2017 21:37:17,0:02:49,0:00:32,rjmathis,rj mathis
"As a student, I want to be able to read many reviews on beers and breweries, so that I can easily find the best option for drinking away my sorrows after a SWE test.",3,13/10/2017 21:31:26,0:01:03,0:00:48,rjmathis,rj mathis
"As a bar owner, I want to easily view many breweries, so that I can learn about great places to get beer for stocking my bar.",3,13/10/2017 21:29:13,0:02:09,0:01:34,rjmathis,rj mathis
"As a beer enthusiast, I want to see many beers listed on the beer page, so that I can easily access and learn about many different beers.",3,13/10/2017 21:09:41,0:01:54,0:01:14,rjmathis,rj mathis
Create Reviews Instances Pages,Coffee,27/09/2017 03:04:41,16:01:16,23:59:59,rjmathis,rj mathis
Create Styles Instances Page,1,,,,,
Create Breweries Instances Page,1,,,,,
Create Beer Instances Page,1,,,,,
Gather/Generate Beer Data,2,,,,,
Create About Page,2,,,,,
Create Styles Page,1,,,,,
Create Breweries Page,1,,,,,
Create Reviews Page,1,,,,,
Create Beers Page,1,,,,,
